problem,strategy,days,total_cost_yuan,mean_daily_cost_yuan,total_final_purchase_kwh,total_emergency_purchase_kwh,total_storage_throughput_kwh,total_curtailment_kwh,max_balance_residual_kwh,max_soc_residual_kwh,solve_time_s,saving_vs_q2_no_storage_pct
Q1,no_storage,1,48052.04659085,48052.04659085,61789.93540000,0.00000000,0.00000000,6247.96296667,0.00000000,0.00000000,0.00000000,
Q1,fixed_peak_valley_rule,1,36993.93944926,36993.93944926,58060.96338992,0.00000000,23996.70332325,0.00000000,0.00000000,0.00000000,0.00712120,
Q1,deterministic_lp,1,35126.94858929,35126.94858929,59482.69899835,0.00000000,37540.60569835,0.00000000,0.00000000,0.00000000,0.00731420,
Q2,no_storage,334,19484103.38140180,58335.63886647,21666094.27005316,788678.13111933,0.00000000,3726904.77508650,0.00000000,0.00000000,0.03750920,0.00000000
Q2,fixed_rule,334,16096894.83694169,48194.29591899,20741304.53899166,499944.96204608,8108141.62883917,1951295.74346674,0.00000000,0.00000000,2.41710640,0.17384472
Q2,point,334,15677738.20363801,46939.33593904,20689507.49826898,587486.10299257,11949024.67972152,1496088.08108623,0.00000000,0.00000000,2.46319680,0.19535747
Q2,safety_margin_lp,334,14807964.25828163,44335.22233018,23466836.33381595,74579.33773899,11710925.26257235,4293549.71183893,0.00000000,0.00000000,2.93684870,0.23999766
Q2,cvar_two_stage,334,14934058.93793612,44712.75131119,22538180.78633630,189919.81043417,12009352.04111892,3333595.95885487,0.00000000,0.00000000,26.44203780,0.23352599
Q3,rolling_mpc_4x,334,14426266.71963652,43192.41532825,21476318.71645273,157058.99230584,12339806.53872907,2241978.31461543,0.00000000,0.00000000,7.79666350,
Q4-2,joint_cvar,334,15791833.73257194,47280.93931908,22410786.75149304,223211.96810915,13310451.29839169,3069622.44396640,0.00000000,0.00000000,26.65098210,
Q4-3,dynamic_price_rolling_mpc,334,15299064.81096444,45805.58326636,21525299.30890483,166074.70211470,12841977.65148558,2238145.54979806,0.00000000,0.00000000,7.87140450,
Q2,oracle_perfect_information_lower_bound,334,12230383.64620781,36617.91510841,20189815.79785095,0.00000000,12007522.97239781,990168.09031214,0.00000000,0.00000000,5.66290470,0.37228912
Q4,oracle_perfect_information_lower_bound,334,12783021.73868496,38272.52017570,20237609.39573697,0.00000000,12462819.87857517,990168.09031214,0.00000000,0.00000000,5.42142290,
