date,interval_index,source_time_label,output_interval_label,interval_end_timestamp,load_actual_kw,pv_actual_kw,price_actual,price_static,forecast_issue_time,forecast_lead_h,pv_forecast_kw
2025-01-01,1,00:10:00,0:10-0:20,2025-01-01 00:10:00,3529.729600,0.000000,0.452700,0.424800,2025-01-01,1,0.000000
2025-01-01,2,00:20:00,0:20-0:30,2025-01-01 00:20:00,3609.528700,0.000000,0.473300,0.424500,2025-01-01,1,0.000000
2025-01-01,3,00:30:00,0:30-0:40,2025-01-01 00:30:00,3726.560000,0.000000,0.484300,0.426900,2025-01-01,1,0.000000
2025-01-01,4,00:40:00,0:40-0:50,2025-01-01 00:40:00,3510.631100,0.000000,0.454100,0.427200,2025-01-01,1,0.000000
2025-01-01,5,00:50:00,0:50-1:00,2025-01-01 00:50:00,3502.562500,0.000000,0.426600,0.427100,2025-01-01,1,0.000000
2025-01-01,6,01:00:00,1:00-1:10,2025-01-01 01:00:00,3787.010000,0.000000,0.431100,0.428500,2025-01-01,1,0.000000
2025-01-01,7,01:10:00,1:10-1:20,2025-01-01 01:10:00,3900.320500,0.000000,0.454400,0.431100,2025-01-01,2,0.000000
2025-01-01,8,01:20:00,1:20-1:30,2025-01-01 01:20:00,3916.837600,0.000000,0.448300,0.430200,2025-01-01,2,0.000000
2025-01-01,9,01:30:00,1:30-1:40,2025-01-01 01:30:00,3817.280000,0.000000,0.425100,0.427900,2025-01-01,2,0.000000
2025-01-01,10,01:40:00,1:40-1:50,2025-01-01 01:40:00,3533.013600,0.000000,0.444000,0.431200,2025-01-01,2,0.000000
2025-01-01,11,01:50:00,1:50-2:00,2025-01-01 01:50:00,3694.661300,0.000000,0.478000,0.433300,2025-01-01,2,0.000000
2025-01-01,12,02:00:00,2:00-2:10,2025-01-01 02:00:00,4064.730000,0.000000,0.494100,0.431100,2025-01-01,2,0.000000
2025-01-01,13,02:10:00,2:10-2:20,2025-01-01 02:10:00,3810.671000,0.000000,0.484000,0.429300,2025-01-01,3,0.000000
