category,date,strategy_name,cost_yuan,emergency_purchase_kwh,soc_end_kwh,mean_abs_net_forecast_error_kw
specified_or_extreme,2025-03-20,result2,45150.05765802,0.00000000,10800.00000000,171.08542940
specified_or_extreme,2025-03-20,result3,44321.18955343,83.57326210,6058.04116611,171.08542940
specified_or_extreme,2025-03-20,result4-2,45735.57683185,133.79118434,10504.66810806,171.08542940
specified_or_extreme,2025-03-20,result4-3,45561.07678706,82.05807477,6039.24575074,171.08542940
specified_or_extreme,2025-06-01,result2,96849.63999043,8844.51336969,9994.96187175,840.22044613
specified_or_extreme,2025-06-01,result3,60161.04925495,1163.95634714,5875.88720875,840.22044613
specified_or_extreme,2025-06-01,result4-2,113907.58756234,11227.27719818,9378.66685500,840.22044613
specified_or_extreme,2025-06-01,result4-3,68115.38325363,1272.69678371,5845.05634182,840.22044613
specified_or_extreme,2025-06-21,result2,27796.42792375,0.00000000,10800.00000000,379.79249557
specified_or_extreme,2025-06-21,result3,21868.53430748,211.81684993,6701.32661607,379.79249557
specified_or_extreme,2025-06-21,result4-2,24780.88847807,0.00000000,10800.00000000,379.79249557
specified_or_extreme,2025-06-21,result4-3,18701.30040407,187.51677123,6745.06041645,379.79249557
specified_or_extreme,2025-09-23,result2,45935.80502946,0.00000000,10800.00000000,266.53910474
specified_or_extreme,2025-09-23,result3,49962.71039513,733.24614956,6275.07222667,266.53910474
specified_or_extreme,2025-09-23,result4-2,69220.48057491,4324.29702258,4181.74345475,266.53910474
specified_or_extreme,2025-09-23,result4-3,54312.33510630,1164.18864105,6110.12663167,266.53910474
specified_or_extreme,2025-12-21,result2,66581.45153966,0.00000000,10800.00000000,188.57185046
specified_or_extreme,2025-12-21,result3,66684.57163056,453.84033702,6066.89896370,188.57185046
specified_or_extreme,2025-12-21,result4-2,74814.95551793,634.62395553,10738.83456561,188.57185046
specified_or_extreme,2025-12-21,result4-3,78694.63007273,410.08837252,6030.79350444,188.57185046
worst_1pct_forecast_error,aggregate,result2,50745.75542665,2328.25230001,9926.63368388,769.82615150
worst_1pct_forecast_error,aggregate,result3,44963.74463476,670.45470268,7285.85030533,769.82615150
worst_1pct_forecast_error,aggregate,result4-2,63408.84157037,4024.66798635,9599.40481708,769.82615150
worst_1pct_forecast_error,aggregate,result4-3,48043.81226956,867.35349155,7267.62466864,769.82615150
worst_5pct_forecast_error,aggregate,result2,47799.61280025,1582.92161051,9941.59280316,655.58090112
worst_5pct_forecast_error,aggregate,result3,44968.92158813,1060.88145184,7324.25296929,655.58090112
worst_5pct_forecast_error,aggregate,result4-2,53189.80994588,2378.78169564,9478.54508672,655.58090112
worst_5pct_forecast_error,aggregate,result4-3,46455.67672474,1029.68925089,7402.13254681,655.58090112
worst_10pct_forecast_error,aggregate,result2,50988.41533495,1309.98501918,10135.07442453,562.50878754
worst_10pct_forecast_error,aggregate,result3,48533.42154520,980.78382458,6930.38986195,562.50878754
worst_10pct_forecast_error,aggregate,result4-2,58601.38433933,2345.56482264,9769.20849586,562.50878754
worst_10pct_forecast_error,aggregate,result4-3,51715.44779090,938.82303327,7011.32232214,562.50878754
