scope,parameter,setting,date,cost_yuan,planned_kwh,objective,solve_time_s,adjusted_kwh,down_adjustment_intervals
Q1,physical,eta_each_0.85,typical_day,36603.40648003,61728.97512460,36603.40686407,0.00748160,,
Q1,physical,eta_each_0.90,typical_day,35126.94858929,59482.69899835,35126.94896470,0.00677070,,
Q1,physical,roundtrip_eta_0.90,typical_day,33801.49554222,57526.24348088,33801.49591923,0.00700510,,
Q1,physical,capacity_80pct,typical_day,36700.45126718,58806.00856029,36700.45157812,0.00692830,,
Q1,physical,capacity_120pct,typical_day,33875.56751828,59888.03233169,33875.56793230,0.00697710,,
Q1,physical,power_75pct,typical_day,35346.86675055,59439.40298812,35346.86712183,0.00688100,,
Q1,physical,power_125pct,typical_day,35073.01431341,59482.69899835,35073.01468881,0.00666920,,
Q2_extreme_day,cvar,"S=4,alpha=0.85,lambda=0.2",2025-06-01,131074.16330240,55079.36602560,40557.83630960,0.03396220,,
Q2_extreme_day,cvar,"S=4,alpha=0.9,lambda=0",2025-06-01,131074.16330240,55079.36602560,33798.19698118,0.02813300,,
Q2_extreme_day,cvar,"S=4,alpha=0.9,lambda=0.2",2025-06-01,131074.16330240,55079.36602560,40557.83630960,0.04128820,,
Q2_extreme_day,cvar,"S=4,alpha=0.9,lambda=0.5",2025-06-01,131074.16330240,55079.36602560,50697.29530223,0.03587020,,
Q2_extreme_day,cvar,"S=4,alpha=0.95,lambda=0.2",2025-06-01,131074.16330240,55079.36602560,40557.83630960,0.03059260,,
Q2_extreme_day,cvar,"S=8,alpha=0.85,lambda=0.2",2025-06-01,105416.40268441,62626.20128334,46151.99712686,0.10983880,,
Q2_extreme_day,cvar,"S=8,alpha=0.9,lambda=0",2025-06-01,105146.37144749,62173.62913237,38294.69048113,0.09267380,,
Q2_extreme_day,cvar,"S=8,alpha=0.9,lambda=0.2",2025-06-01,105416.40268441,62626.20128334,46151.99712686,0.07842530,,
Q2_extreme_day,cvar,"S=8,alpha=0.9,lambda=0.5",2025-06-01,105416.40268441,62626.20128334,57689.99632662,0.07109260,,
Q2_extreme_day,cvar,"S=8,alpha=0.95,lambda=0.2",2025-06-01,105416.40268441,62626.20128334,46151.99712686,0.08115060,,
Q2_extreme_day,cvar,"S=12,alpha=0.85,lambda=0.2",2025-06-01,114698.22092970,59736.28917013,45838.47786826,0.16534270,,
Q2_extreme_day,cvar,"S=12,alpha=0.9,lambda=0",2025-06-01,118460.22672922,57946.74305652,37506.73569211,0.16165250,,
Q2_extreme_day,cvar,"S=12,alpha=0.9,lambda=0.2",2025-06-01,107129.36166147,61633.80001102,46118.52980553,0.21942910,,
Q2_extreme_day,cvar,"S=12,alpha=0.9,lambda=0.5",2025-06-01,105416.40268441,62626.20128334,57689.99632434,0.14255670,,
Q2_extreme_day,cvar,"S=12,alpha=0.95,lambda=0.2",2025-06-01,107142.91248463,61630.57039493,46118.52980553,0.16460050,,
Q2_extreme_day,emergency_multiplier,3.0,2025-06-01,84233.86324825,59448.78476434,45716.14773579,0.08730860,,
Q2_extreme_day,emergency_multiplier,5.0,2025-06-01,105416.40268441,62626.20128334,46151.99712686,0.07883810,,
Q2_extreme_day,emergency_multiplier,8.0,2025-06-01,145590.24589555,62626.20128334,46151.99712686,0.07756330,,
Q2_extreme_day,terminal_soc_kwh,5000.0,2025-06-01,,61515.09017223,45586.94378272,0.08455590,,
Q2_extreme_day,terminal_soc_kwh,6000.0,2025-06-01,,62626.20128334,46151.99712686,0.08297860,,
Q2_extreme_day,terminal_soc_kwh,7000.0,2025-06-01,,63737.31239446,46717.33047118,0.09032650,,
Q3_key_dates,settlement_interpretation,additive_penalty_main,2025-03-20,44321.18955343,66256.61529426,,0.02251000,,
Q3_key_dates,settlement_interpretation,net_replacement_alternative,2025-03-20,55293.51587573,66256.61529426,,0.02251000,67563.83276989,31.00000000
Q3_key_dates,settlement_interpretation,additive_penalty_main,2025-06-01,60161.04925495,54585.37186730,,0.02277600,,
Q3_key_dates,settlement_interpretation,net_replacement_alternative,2025-06-01,60186.10954165,54585.37186730,,0.02277600,74579.34374339,0.00000000
Q3_key_dates,settlement_interpretation,additive_penalty_main,2025-06-21,21868.53430748,34807.99969863,,0.02134730,,
Q3_key_dates,settlement_interpretation,net_replacement_alternative,2025-06-21,21792.54575620,34807.99969863,,0.02134730,35197.71401896,20.00000000
Q3_key_dates,settlement_interpretation,additive_penalty_main,2025-09-23,49962.71039513,63904.37442768,,0.02213370,,
Q3_key_dates,settlement_interpretation,net_replacement_alternative,2025-09-23,50860.73355101,63904.37442768,,0.02213370,69391.20425878,24.00000000
Q3_key_dates,settlement_interpretation,additive_penalty_main,2025-12-21,66684.57163056,93044.67518176,,0.02201420,,
Q3_key_dates,settlement_interpretation,net_replacement_alternative,2025-12-21,74229.51108983,93044.67518176,,0.02201420,95360.25614498,41.00000000
