variable,model,segment_type,segment_value,n,mae,rmse,wmape
load,load_pred_prev_day_kw,overall,all,48096,650.020068,1128.391238,0.140795
load,load_pred_prev_day_kw,month,02,4032,638.303456,1124.098066,0.141315
load,load_pred_prev_day_kw,month,03,4464,645.207607,1134.747016,0.148130
load,load_pred_prev_day_kw,month,04,4320,596.096335,1083.846172,0.135693
load,load_pred_prev_day_kw,month,05,4464,656.502700,1136.521394,0.149148
load,load_pred_prev_day_kw,month,06,4320,698.396119,1180.674858,0.145488
load,load_pred_prev_day_kw,month,07,4464,644.772282,1084.500236,0.120806
load,load_pred_prev_day_kw,month,08,4464,738.955431,1202.208661,0.146468
load,load_pred_prev_day_kw,month,09,4320,629.531647,1094.852985,0.138788
load,load_pred_prev_day_kw,month,10,4464,639.916065,1132.012476,0.147208
load,load_pred_prev_day_kw,month,11,4320,659.411557,1154.575296,0.152020
load,load_pred_prev_day_kw,month,12,4464,601.456754,1076.544360,0.128207
load,load_pred_prev_day_kw,lead_h,1,2004,382.186270,552.082374,0.110651
load,load_pred_prev_day_kw,lead_h,2,2004,376.319379,541.189657,0.108416
load,load_pred_prev_day_kw,lead_h,3,2004,377.083563,544.434249,0.107813
load,load_pred_prev_day_kw,lead_h,4,2004,377.052974,542.645820,0.107199
load,load_pred_prev_day_kw,lead_h,5,2004,374.493228,538.538814,0.105886
load,load_pred_prev_day_kw,lead_h,6,2004,433.442748,694.390615,0.117136
load,load_pred_prev_day_kw,lead_h,7,2004,668.822431,1089.270494,0.152525
load,load_pred_prev_day_kw,lead_h,8,2004,662.635853,1124.119784,0.139884
load,load_pred_prev_day_kw,lead_h,9,2004,1034.241570,1759.628654,0.179014
load,load_pred_prev_day_kw,lead_h,10,2004,869.538083,1447.253238,0.147947
load,load_pred_prev_day_kw,lead_h,11,2004,867.398658,1450.478275,0.148797
load,load_pred_prev_day_kw,lead_h,12,2004,854.409293,1416.753882,0.149293
load,load_pred_prev_day_kw,lead_h,13,2004,783.977320,1291.826776,0.142137
load,load_pred_prev_day_kw,lead_h,14,2004,876.185691,1455.331961,0.153874
load,load_pred_prev_day_kw,lead_h,15,2004,878.978544,1454.720283,0.155034
load,load_pred_prev_day_kw,lead_h,16,2004,882.076750,1456.416220,0.155607
load,load_pred_prev_day_kw,lead_h,17,2004,923.065595,1543.105570,0.163611
load,load_pred_prev_day_kw,lead_h,18,2004,981.460112,1685.534981,0.187047
load,load_pred_prev_day_kw,lead_h,19,2004,572.965545,884.694664,0.134819
load,load_pred_prev_day_kw,lead_h,20,2004,576.464337,893.187124,0.134337
load,load_pred_prev_day_kw,lead_h,21,2004,563.107582,876.963979,0.130284
load,load_pred_prev_day_kw,lead_h,22,2004,525.474358,816.907460,0.126516
load,load_pred_prev_day_kw,lead_h,23,2004,378.194540,539.020419,0.111117
load,load_pred_prev_day_kw,lead_h,24,2004,380.907198,540.178300,0.110758
load,load_pred_prev_week_kw,overall,all,48096,176.795721,244.286615,0.038294
load,load_pred_prev_week_kw,month,02,4032,146.437922,184.382033,0.032420
load,load_pred_prev_week_kw,month,03,4464,141.230025,180.778014,0.032424
load,load_pred_prev_week_kw,month,04,4320,125.522645,156.911323,0.028573
load,load_pred_prev_week_kw,month,05,4464,160.478891,208.959762,0.036459
load,load_pred_prev_week_kw,month,06,4320,210.343720,287.128129,0.043818
load,load_pred_prev_week_kw,month,07,4464,288.268041,383.711442,0.054011
load,load_pred_prev_week_kw,month,08,4464,183.778355,231.552030,0.036427
load,load_pred_prev_week_kw,month,09,4320,241.896897,346.410294,0.053329
load,load_pred_prev_week_kw,month,10,4464,137.434469,182.866687,0.031616
load,load_pred_prev_week_kw,month,11,4320,125.794936,156.579956,0.029001
