date,interval_index,source_time_label,output_interval_label,load_actual_kw,pv_actual_kw,load_pred_prev_day_kw,load_pred_prev_week_kw,load_pred_expanding_mean_kw,load_pred_daytype_mean_kw,load_pred_ridge_kw,pv_pred_prev_day_kw,pv_pred_prev_week_kw,pv_pred_expanding_mean_kw,pv_pred_daytype_mean_kw,pv_pred_ridge_kw,pv_pred_official_kw,pv_pred_official_bias_corrected_kw,load_pred_selected_kw,load_selected_model,pv_pred_selected_kw,pv_selected_model,load_residual_kw,pv_residual_kw,net_load_actual_kw,net_load_pred_kw,net_load_residual_kw,forecast_available_at
2025-01-01,1,00:10:00,0:10-0:20,3529.729600,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3529.729600,,,2025-01-01 00:00:00
2025-01-01,2,00:20:00,0:20-0:30,3609.528700,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3609.528700,,,2025-01-01 00:00:00
2025-01-01,3,00:30:00,0:30-0:40,3726.560000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3726.560000,,,2025-01-01 00:00:00
2025-01-01,4,00:40:00,0:40-0:50,3510.631100,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3510.631100,,,2025-01-01 00:00:00
2025-01-01,5,00:50:00,0:50-1:00,3502.562500,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3502.562500,,,2025-01-01 00:00:00
2025-01-01,6,01:00:00,1:00-1:10,3787.010000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3787.010000,,,2025-01-01 00:00:00
2025-01-01,7,01:10:00,1:10-1:20,3900.320500,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3900.320500,,,2025-01-01 00:00:00
2025-01-01,8,01:20:00,1:20-1:30,3916.837600,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3916.837600,,,2025-01-01 00:00:00
2025-01-01,9,01:30:00,1:30-1:40,3817.280000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3817.280000,,,2025-01-01 00:00:00
2025-01-01,10,01:40:00,1:40-1:50,3533.013600,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3533.013600,,,2025-01-01 00:00:00
2025-01-01,11,01:50:00,1:50-2:00,3694.661300,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3694.661300,,,2025-01-01 00:00:00
2025-01-01,12,02:00:00,2:00-2:10,4064.730000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4064.730000,,,2025-01-01 00:00:00
2025-01-01,13,02:10:00,2:10-2:20,3810.671000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3810.671000,,,2025-01-01 00:00:00
2025-01-01,14,02:20:00,2:20-2:30,3844.949500,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3844.949500,,,2025-01-01 00:00:00
2025-01-01,15,02:30:00,2:30-2:40,4234.620000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4234.620000,,,2025-01-01 00:00:00
2025-01-01,16,02:40:00,2:40-2:50,4109.975500,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4109.975500,,,2025-01-01 00:00:00
2025-01-01,17,02:50:00,2:50-3:00,3996.894500,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,3996.894500,,,2025-01-01 00:00:00
2025-01-01,18,03:00:00,3:00-3:10,4102.190000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4102.190000,,,2025-01-01 00:00:00
2025-01-01,19,03:10:00,3:10-3:20,4086.057700,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4086.057700,,,2025-01-01 00:00:00
2025-01-01,20,03:20:00,3:20-3:30,4133.762600,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4133.762600,,,2025-01-01 00:00:00
2025-01-01,21,03:30:00,3:30-3:40,4179.180000,0.000000,,,,,,,,,,,0.000000,0.000000,,load_pred_expanding_mean_kw,0.000000,pv_pred_official_kw,,0.000000,4179.180000,,,2025-01-01 00:00:00
