target_date,scenario_id,source_date,interval_index,load_residual_kw,pv_residual_kw,net_load_residual_kw,price_residual
2025-02-01,1,2025-01-11,1,-82.2186,0.0,-82.2186,0.0024
2025-02-01,1,2025-01-11,2,-5.9342,0.0,-5.9342,0.0318
2025-02-01,1,2025-01-11,3,26.27,0.0,26.27,0.0498
2025-02-01,1,2025-01-11,4,77.6034,0.0,77.6034,-0.0523
2025-02-01,1,2025-01-11,5,88.5968,0.0,88.5968,-0.0545
2025-02-01,1,2025-01-11,6,13.34,0.0,13.34,0.0582
2025-02-01,1,2025-01-11,7,-100.0814,0.0,-100.0814,0.0702
2025-02-01,1,2025-01-11,8,-25.4568,0.0,-25.4568,-0.0002
2025-02-01,1,2025-01-11,9,124.67,0.0,124.67,-0.0365
2025-02-01,1,2025-01-11,10,37.6435,0.0,37.6435,0.043
2025-02-01,1,2025-01-11,11,103.6233,0.0,103.6233,0.048
2025-02-01,1,2025-01-11,12,258.03,0.0,258.03,-0.0312
2025-02-01,1,2025-01-11,13,47.1069,0.0,47.1069,-0.0147
2025-02-01,1,2025-01-11,14,-30.9407,0.0,-30.9407,0.0436
2025-02-01,1,2025-01-11,15,86.23,0.0,86.23,0.0749
2025-02-01,1,2025-01-11,16,-25.4497,0.0,-25.4497,0.0665
2025-02-01,1,2025-01-11,17,-34.4279,0.0,-34.4279,0.0452
2025-02-01,1,2025-01-11,18,85.86,0.0,85.86,0.0121
2025-02-01,1,2025-01-11,19,19.8234,0.0,19.8234,-0.0477
2025-02-01,1,2025-01-11,20,67.2245,0.0,67.2245,-0.0723
2025-02-01,1,2025-01-11,21,197.49,0.0,197.49,-0.0316
2025-02-01,1,2025-01-11,22,37.4535,0.0,37.4535,0.0361
2025-02-01,1,2025-01-11,23,-199.9048,0.0,-199.9048,0.0257
2025-02-01,1,2025-01-11,24,-200.0,0.0,-200.0,-0.0299
2025-02-01,1,2025-01-11,25,124.4216,0.0,124.4216,0.0032
2025-02-01,1,2025-01-11,26,184.0342,0.0,184.0342,0.0516
2025-02-01,1,2025-01-11,27,-62.66,0.0,-62.66,0.0175
2025-02-01,1,2025-01-11,28,-102.1603,0.0,-102.1603,-0.0988
2025-02-01,1,2025-01-11,29,-61.895,0.0,-61.895,-0.038
2025-02-01,1,2025-01-11,30,-129.16,0.0,-129.16,0.112
2025-02-01,1,2025-01-11,31,-277.3481,-0.00132,-277.34678,0.0191
2025-02-01,1,2025-01-11,32,-87.4988,0.0,-87.4988,-0.0009
2025-02-01,1,2025-01-11,33,266.62,0.0,266.62,0.1055
2025-02-01,1,2025-01-11,34,160.0067,-0.01445,160.02115,0.0648
2025-02-01,1,2025-01-11,35,-87.274,0.0,-87.274,0.0105
2025-02-01,1,2025-01-11,36,-104.78,0.0,-104.78,0.0106
2025-02-01,1,2025-01-11,37,128.8727,-0.2009,129.0736,-0.0056
2025-02-01,1,2025-01-11,38,51.5565,0.0,51.5565,0.0144
2025-02-01,1,2025-01-11,39,-158.8,0.0,-158.8,0.0462
2025-02-01,1,2025-01-11,40,171.2284,-2.79875,174.02715,0.0025
2025-02-01,1,2025-01-11,41,210.9402,0.0,210.9402,-0.0224
2025-02-01,1,2025-01-11,42,-138.69,33.81375,-172.50375,0.0026
2025-02-01,1,2025-01-11,43,-121.4377,52.41744,-173.85514,0.015
2025-02-01,1,2025-01-11,44,-10.3936,38.50393,-48.89753,0.0174
2025-02-01,1,2025-01-11,45,92.3,6.8175,85.4825,0.0445
2025-02-01,1,2025-01-11,46,357.0553,-5.32213,362.37743,0.1074
2025-02-01,1,2025-01-11,47,313.5243,-32.72629,346.25059,0.0723
2025-02-01,1,2025-01-11,48,37.22,-70.07625,107.29625,-0.0124
2025-02-01,1,2025-01-11,49,91.7729,-60.79211,152.56501,0.0296
2025-02-01,1,2025-01-11,50,167.093,19.75901,147.33399,0.0212
2025-02-01,1,2025-01-11,51,122.1,130.005,-7.905,-0.0581
2025-02-01,1,2025-01-11,52,110.7419,186.55946,-75.81756,-0.046
2025-02-01,1,2025-01-11,53,-91.1742,171.50044,-262.67464,-0.0296
2025-02-01,1,2025-01-11,54,-289.03,139.03125,-428.06125,-0.015
2025-02-01,1,2025-01-11,55,-34.7097,153.04163,-187.75133,0.0749
2025-02-01,1,2025-01-11,56,97.196,102.53953,-5.34353,0.0768
2025-02-01,1,2025-01-11,57,45.65,-11.31,56.96,-0.0219
2025-02-01,1,2025-01-11,58,271.7112,-55.10723,326.81843,-0.0612
2025-02-01,1,2025-01-11,59,254.1826,0.96302,253.21958,-0.0391
2025-02-01,1,2025-01-11,60,-121.62,9.15,-130.77,-0.0043
2025-02-01,1,2025-01-11,61,-367.5072,-201.34922,-166.15798,-0.0005
2025-02-01,1,2025-01-11,62,-246.9966,-306.77049,59.77389,-0.0192
2025-02-01,1,2025-01-11,63,-67.77,-154.36875,86.59875,-0.0359
2025-02-01,1,2025-01-11,64,-302.8521,109.30208,-412.15418,-0.0341
2025-02-01,1,2025-01-11,65,-232.4069,329.97576,-562.38266,-0.0334
2025-02-01,1,2025-01-11,66,218.57,451.44,-232.87,-0.0293
2025-02-01,1,2025-01-11,67,327.078,501.37902,-174.30102,0.0005
2025-02-01,1,2025-01-11,68,-10.9741,458.80712,-469.78122,0.0183
2025-02-01,1,2025-01-11,69,-327.16,349.7925,-676.9525,0.0173
2025-02-01,1,2025-01-11,70,-76.0642,250.51201,-326.57621,0.0254
2025-02-01,1,2025-01-11,71,8.5339,193.61918,-185.08528,0.0235
2025-02-01,1,2025-01-11,72,-168.51,136.06875,-304.57875,0.0152
2025-02-01,1,2025-01-11,73,-3.9762,25.08611,-29.06231,0.019
2025-02-01,1,2025-01-11,74,74.2173,18.33569,55.88161,-0.0176
2025-02-01,1,2025-01-11,75,-14.8,161.51625,-176.31625,-0.0524
2025-02-01,1,2025-01-11,76,97.7073,338.04121,-240.33391,0.0054
2025-02-01,1,2025-01-11,77,133.1741,444.02835,-310.85425,0.0009
2025-02-01,1,2025-01-11,78,6.75,397.0725,-390.3225,-0.0661
2025-02-01,1,2025-01-11,79,-102.549,190.51497,-293.06397,-0.0421
2025-02-01,1,2025-01-11,80,-382.4561,44.21981,-426.67591,-0.0214
2025-02-01,1,2025-01-11,81,-502.09,-4.87875,-497.21125,-0.0451
2025-02-01,1,2025-01-11,82,89.7547,-82.87066,172.62536,-0.0525
2025-02-01,1,2025-01-11,83,413.5945,-25.58063,439.17513,-0.0449
2025-02-01,1,2025-01-11,84,127.53,61.49625,66.03375,-0.0261
2025-02-01,1,2025-01-11,85,-163.794,-119.43959,-44.35441,0.0053
2025-02-01,1,2025-01-11,86,-191.6694,-269.52417,77.85477,0.0197
2025-02-01,1,2025-01-11,87,-103.18,-246.015,142.835,0.0064
2025-02-01,1,2025-01-11,88,-193.5788,-189.02374,-4.55506,-0.0147
2025-02-01,1,2025-01-11,89,-95.3131,-134.0334,38.7203,-0.0117
2025-02-01,1,2025-01-11,90,123.19,-92.94375,216.13375,0.0035
2025-02-01,1,2025-01-11,91,28.4131,-65.62624,94.03934,-0.0073
2025-02-01,1,2025-01-11,92,113.2085,14.92538,98.28312,-0.0046
2025-02-01,1,2025-01-11,93,333.22,116.08875,217.13125,0.0255
2025-02-01,1,2025-01-11,94,105.5891,128.90678,-23.31768,0.046
2025-02-01,1,2025-01-11,95,-217.163,103.9258,-321.0888,0.0026
2025-02-01,1,2025-01-11,96,-322.71,114.4425,-437.1525,-0.0737
2025-02-01,1,2025-01-11,97,-231.5645,180.35911,-411.92361,-0.0851
2025-02-01,1,2025-01-11,98,-155.1589,187.66398,-342.82288,-0.0205
2025-02-01,1,2025-01-11,99,-117.79,126.50625,-244.29625,0.0503
2025-02-01,1,2025-01-11,100,9.3669,94.59855,-85.23165,0.0403
2025-02-01,1,2025-01-11,101,49.2362,71.58214,-22.34594,0.0185
2025-02-01,1,2025-01-11,102,-57.44,38.4,-95.84,-0.006
2025-02-01,1,2025-01-11,103,-161.5294,0.0,-161.5294,-0.0755
2025-02-01,1,2025-01-11,104,-79.3426,-2.89269,-76.44991,-0.0458
2025-02-01,1,2025-01-11,105,114.46,0.0,114.46,0.0474
2025-02-01,1,2025-01-11,106,147.0217,0.0,147.0217,0.0216
2025-02-01,1,2025-01-11,107,17.7129,-0.20765,17.92055,0.0097
2025-02-01,1,2025-01-11,108,-73.24,0.0,-73.24,0.047
2025-02-01,1,2025-01-11,109,30.2919,0.0,30.2919,0.0329
2025-02-01,1,2025-01-11,110,-171.6248,-0.01491,-171.60989,0.0342
2025-02-01,1,2025-01-11,111,-437.0,0.0,-437.0,0.0435
2025-02-01,1,2025-01-11,112,-16.9937,0.0,-16.9937,-0.0178
2025-02-01,1,2025-01-11,113,274.3165,-0.00147,274.31797,-0.0416
